amfi_code,CAGR_3Y,sharpe_ratio,alpha,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,drawdown_rank,fund_score
148567,34.00091602163293,1.4482911703262593,0.2698375144191807,-0.11265729075028275,1.46,97.43589743589743,100.0,84.61538461538461,43.58974358974359,82.05128205128204,85.89743589743588
120505,31.777537151234704,1.1801011976606495,0.2926358334175106,-0.18188513572116294,1.36,89.74358974358975,89.74358974358975,94.87179487179486,64.1025641025641,38.46153846153847,81.7948717948718
120843,29.58277033726251,1.3067439695428407,0.27330465038306057,-0.1297396816518679,1.45,84.61538461538461,97.43589743589743,89.74358974358975,46.15384615384615,69.23076923076923,81.53846153846153
100033,32.442459421956116,1.0936987435346313,0.2719535450128533,-0.16217208574644848,1.38,92.3076923076923,84.61538461538461,87.17948717948718,58.97435897435898,51.28205128205128,80.25641025641023
120504,32.48742855621496,1.0265242847993,0.2119482701352573,-0.12588275606922517,0.8,94.87179487179486,76.92307692307693,69.23076923076923,71.7948717948718,71.7948717948718,79.48717948717949
119094,35.11180209642853,0.9982309868636414,0.2607666908004223,-0.20960883862039192,1.38,100.0,74.35897435897436,79.48717948717949,58.97435897435898,30.76923076923077,76.41025641025642
119551,30.456524420302888,1.2082665673727175,0.23201007160635082,-0.1501238549864533,1.54,87.17948717948718,92.3076923076923,76.92307692307693,24.358974358974358,58.97435897435898,74.16666666666667
148569,29.178901578393777,1.2349300257743294,0.2827036785246582,-0.1639674294693263,1.6,82.05128205128204,94.87179487179486,92.3076923076923,8.974358974358974,48.717948717948715,73.01282051282051
101206,28.96769452874166,1.0272133278753701,0.21399784776051212,-0.11291596329323073,1.6,79.48717948717949,79.48717948717949,71.7948717948718,8.974358974358974,79.48717948717949,67.37179487179486
119598,26.66992200118774,0.9453082575156091,0.3033696538698332,-0.2870600572176455,1.43,71.7948717948718,66.66666666666666,100.0,48.717948717948715,10.256410256410255,66.53846153846153
149323,26.869990828902203,1.1321218524747243,0.26598577542043045,-0.17248105753451382,1.61,74.35897435897436,87.17948717948718,82.05128205128204,5.128205128205128,46.15384615384615,65.8974358974359
